NEE,LE,LE_unc,H,H_unc,Tau,Tau_unc,CO2_strg,LE_strg,H_strg,Pa,Ta,RH,VPD,Rnet,Rg,G1,G2,G3,G4,Tsoil1,Tsoil2,VWC_1,VWC2,Precipitation,Windspeed,Winddir,FootprintFraction,Ustar,TKE,Tstar,L,zL,TER,GEP
2.0459,40.015,2.5022,-49.991,1.8032,0.32252,0.015652,0.012939,0.50965,-0.12217,101.215,7.54,77.13,0.02,-13.063,0.0,3.8131,4.5892,4.7808,3.8611,4.9923,5.0866,0.30212,0.50464,0.0,5.3629,184.9,96,0.5,1.8128,-0.078541,224.39,0.0067284,1.83239,-0.21761
3.35,8.0709,0.77522,-26.098,1.8398,0.10057,0.0084215,-0.0058685,0.027764,0.15798,100.146,12.27,82.94,2.43,-26.59,0.0,-7.3582,-4.8151,0.21783,-5.3505,12.154,11.781,0.12021,0.22651,0.0,3.044,205.94,96,0.29,0.7649,-0.073734,79.506,0.019327,3.40837,0.058365
1.8659,-6.2849,0.48083,-36.053,1.8381,0.062883,0.0036463,0.057208,0.091597,0.13643,101.97,3.22,86.15,1.06,-60.25,0.0,-10.419,-10.057,-11.425,-9.0992,1.4234,1.539,0.26098,0.42967,0.0,2.253,169.46,96,0.22,0.29217,-0.12587,26.624,0.054444,1.762,-0.108
1.3619,8.2115,1.4245,-18.036,3.2687,0.13262,0.0080594,-0.0015227,-0.11553,-0.21791,99899.66,5.38,85.02,1.34,-44.355,0.0,-2.464,-3.3046,-4.6357,-2.0968,7.4982,7.5659,0.58615,0.37327,0.0,2.9236,249.03,96,0.33,0.75125,-0.043958,167.73,0.0091813,1.76006,0.40006
3.2615,-2.2248,0.32837,-9.0353,1.1678,0.002941,0.00049435,-0.2238,-0.29281,0.045471,101.778,8.17,81.4,2.01,-45.826,0.0,-0.81233,-3.7613,-3.0775,-2.1747,10.232,9.702,0.54798,0.32755,0.0,0.60252,202.94,84,0.05,0.033144,-0.14717,1.107,1.3042,4.50125,1.2413
1.2906,6.0642,0.3385,-15.574,0.82069,0.067625,0.0040417,-0.0035483,0.046483,-0.079908,102.874,11.96,88.38,1.62,3.2054,0.0,5.313,5.8306,5.9331,4.9649,10.036,9.9887,0.38142,0.51173,0.0,2.2901,172.19,96,0.23,0.32646,-0.052907,71.827,0.019951,1.66219,0.37219
2.2329,21.589,2.7663,-23.816,1.8513,0.078272,0.0072565,0.02357,-0.014875,-0.22495,102.215,13.0,71.65,4.24,-17.63,0.0,-2.1532,-1.316,-3.4294,-4.3543,11.944,11.388,0.25335,0.41722,0.0,2.0889,215.45,96,0.25,0.66669,-0.075624,59.041,0.025685,2.65653,0.42653
1.2043,1.3293,0.19866,-27.177,2.051,0.042013,0.0031877,-0.012182,-0.090642,-0.47316,101.981,-0.4,77.41,1.34,-69.263,0.0,-11.838,-10.07,-11.438,-9.5589,-0.27977,1.584,0.15008,0.41493,0.0,2.069,287.28,96,0.18,0.23127,-0.1154,18.88,0.082099,1.18833,-0.01167
1.6361,-5.1667,0.71418,-7.5099,1.6001,0.13817,0.0031803,-0.040263,0.32631,0.3428,101.987,7.54,93.72,0.65,-26.71,0.0,-5.8204,-5.802,-2.6468,-6.0214,6.9727,6.9917,0.32357,0.50146,0.0,2.3531,162.08,97,0.33,0.76401,-0.017804,427.04,0.0035355,2.24865,0.60865
4.3382,-4.4105,0.59951,-5.1823,0.72089,0.0043023,0.00039492,0.22678,-0.59284,-0.80803,102.502,12.63,88.4,1.69,-42.59,0.0,-2.3934,-4.7923,-1.5506,-1.1006,17.781,17.471,0.347,0.32154,0.0,0.6605,160.94,94,0.06,0.030807,-0.069991,3.4871,0.40825,8.25003,3.91
2.0538,-4.0562,0.26137,-18.315,1.7815,0.017924,0.0021293,0.0116,0.074312,0.086156,100.926,-0.28,89.6,0.62,-67.704,0.0,-6.588,-8.2886,-10.34,-7.902,2.7308,2.4765,0.49317,0.3694,0.0,0.92297,184.62,96,0.12,0.1231,-0.11967,7.8808,0.20785,2.41784,0.36784
3.3089,29.133,1.4451,-25.693,1.1754,0.13607,0.0093114,-0.03459,0.18253,0.32744,100.678,15.65,80.37,3.48,-0.054318,0.0,-9.7428,-7.5858,0.98498,0.085976,17.555,15.716,0.49467,0.75199,0.0,3.4143,188.53,96,0.34,1.0432,-0.062548,129.07,0.011362,4.39073,1.0807
3.985,-4.2153,0.59922,-29.33,1.6885,0.060647,0.0053088,0.017638,0.16563,0.071731,101.204,10.26,84.73,1.9,-39.83,13.59,-18.658,-15.224,-8.7142,-8.547,12.408,13.074,0.17819,0.31322,0.0,2.192,208.62,96,0.22,0.59311,-0.10583,32.478,0.044122,3.65069,-0.33931
1.9628,-8.3193,1.9556,-2.7351,1.1249,0.0041199,0.00043572,2.5182,0.18493,0.023302,102.375,8.11,92.97,0.76,8.4163,0.0,-33.474,-21.218,-14.085,-22.164,11.203,11.82,0.2597,0.45728,0.0,0.11342,60.3,90,0.06,0.078927,-0.037513,6.0386,0.16903,4.72494,2.7649
1.0006,8.1602,0.42588,-55.735,1.9951,0.14838,0.0067565,0.0088032,-0.14767,0.065297,101.668,4.43,77.39,1.89,-66.92,0.0,-10.156,-6.8637,-5.2859,-4.7375,3.0813,3.5187,0.32664,0.50477,0.0,4.5612,306.8,91,0.34,0.82993,-0.12714,62.979,0.022754,1.15397,0.15397
1.8332,-6.9261,0.37375,-30.449,2.1955,0.054961,0.003898,-0.0053585,0.064961,0.15173,103534.3,4.67,86.49,1.15,-49.555,0.0,-0.81955,-1.919,-3.2699,-1.3499,5.4673,5.4563,0.57409,0.35538,0.0,2.1808,176.07,96,0.21,0.31405,-0.11311,25.665,0.060005,1.80509,-0.024913
11.113,7.5669,0.85902,-16.72,1.8533,0.015548,0.0017196,-0.46836,0.054117,0.31457,101144.2,15.39,87.22,2.23,-36.388,0.0,-4.5758,-3.7601,-8.7278,-3.6707,20.0,19.803,0.63139,0.37875,0.0,0.66371,198.55,96,0.11,0.12204,-0.12004,7.6273,0.1615,11.19074,0.080742
2.3075,-18.221,0.4292,-31.527,1.8542,0.060274,0.0041576,0.1083,0.25701,0.53299,101.043,4.83,91.15,0.76,-42.22,0.0,-14.622,-15.482,-13.861,-15.886,3.4336,3.4301,0.32263,0.50675,0.0,2.283,287.63,96,0.22,0.33981,-0.11322,29.057,0.050347,2.15256,-0.15744
8.6984,26.231,1.9554,-23.189,1.5763,0.14512,0.0099915,0.046384,0.41268,-0.3433,101.688,17.4,75.17,4.92,-12.208,0.0,8.389,7.4419,10.406,7.9478,19.881,19.494,0.37844,0.35014,0.0,1.9342,245.22,97,0.35,0.73888,-0.054544,157.75,0.009237,8.92267,0.22267
2.037,21.957,1.4038,-32.739,2.149,0.13609,0.0088082,0.0072161,0.080228,-0.16506,100.341,8.39,80.25,2.17,-52.627,0.0,-26.043,-21.846,-20.977,-21.08,8.4962,8.9664,0.24686,0.40265,0.0,1.7271,256.63,97,0.33,0.80875,-0.078982,97.372,0.010551,3.79877,1.7588
1.6766,-4.0981,0.90887,-10.961,1.282,0.017727,0.0022282,0.022254,0.014123,-0.18762,103690.5,7.57,91.39,0.89,-26.675,0.0,2.1788,2.1424,2.335,2.0239,7.8396,7.8625,0.5692,0.35512,0.0,0.8007,262.26,96,0.12,0.13704,-0.071961,13.269,0.10394,2.03829,0.35829
4.5556,-8.0161,1.3241,-23.528,2.7208,0.06788,0.007167,0.01872,-0.32943,-0.49683,101.177,11.03,88.56,1.5,-50.025,0.0,-13.768,-11.147,2.5363,0.18234,16.592,11.164,0.4862,0.8475,0.0,1.9515,213.68,96,0.23,0.51459,-0.080331,48.185,0.030435,3.68143,-0.87857
5.4322,-4.3661,0.5194,-8.0573,0.6998,0.019179,0.0013569,0.18224,-0.24267,-0.17248,101.487,14.17,93.26,1.09,-38.717,0.0,-23.251,-17.703,-11.037,-20.075,15.625,15.731,0.15797,0.33564,0.0,1.0595,166.49,96,0.13,0.087901,-0.051893,21.485,0.067154,5.66795,0.23795
1.5896,-2.0435,0.18,-4.5228,0.50732,0.0053532,0.00034187,0.092991,-0.0003238,-0.12436,102.337,5.39,90.1,0.89,-23.504,0.0,-24.447,-20.364,-18.368,-17.159,9.128,9.7321,0.17436,0.26047,0.0,1.1574,158.84,94,0.06,0.046282,-0.054206,5.3242,0.26915,2.90317,1.3132
2.6345,4.6173,0.5663,-6.7425,0.68578,0.012483,0.00096839,-0.0023399,0.62427,0.39502,101.977,7.85,81.23,1.99,1.5071,4.53,-11.638,-12.144,-6.4925,-6.0544,10.594,10.594,0.23334,0.37267,0.0,1.3184,302.24,94,0.1,0.080433,-0.053232,12.928,0.11085,3.57145,0.94145
4.5036,9.6787,0.76306,-27.115,2.3579,0.12914,0.0072796,-0.021884,0.36477,0.56269,102.046,9.53,90.61,0.01,-14.92,0.0,-8.6684,-12.273,-9.5579,-11.226,8.6897,8.7355,0.17366,0.27983,0.0,3.008,293.56,96,0.32,0.69302,-0.067087,106.09,0.014484,4.4155,-0.084503
1.9431,8.5271,1.3853,3.2415,1.1764,0.011287,0.0014651,-0.8609,0.88478,0.75991,101.972,11.1,92.89,0.94,14.52,95.84,-8.7952,-14.685,-11.626,-9.7666,19.594,19.421,0.45922,0.24448,0.0,0.34379,5.13,59,0.1,0.06435,0.027032,-23.585,-0.057625,5.42821,3.4882
4.5784,33.184,2.5582,-34.985,2.9102,0.15017,0.0087229,0.025187,-0.31869,-0.42238,99.636,11.62,74.52,3.48,-59.51,0.0,-15.648,-13.079,-12.637,-16.495,13.459,12.418,0.23014,0.4798,0.0,3.484,189.82,96,0.35,1.1235,-0.081046,108.16,0.014269,4.5576,-0.022403
0.25408,-6.7925,3.0034,-3.2125,0.57475,0.0019406,0.00042503,-1.2021,-0.67738,-0.71715,101.287,9.04,92.31,0.88,-48.66,0.0,-12.335,-9.8458,-19.37,-17.076,11.042,8.4241,0.17425,0.3081,0.0,0.61807,141.46,74,0.04,0.059174,-0.064635,1.6852,0.79253,3.72495,3.475
5.1303,22.985,1.1801,-47.027,2.2258,0.38473,0.018469,-0.012429,0.094903,0.012724,101.964,14.88,83.12,2.85,-35.12,0.0,5.8814,5.3789,4.0093,5.886,12.488,12.542,0.33067,0.59054,0.0,4.8666,231.78,96,0.56,2.0416,-0.067575,330.49,0.0042845,4.91991,-0.21009
9.414,12.016,1.0387,-15.976,1.6107,0.21017,0.012495,0.022519,0.20434,-0.22987,101.456,17.08,76.59,4.55,-21.897,0.0,-6.4319,-5.9462,-3.425,-1.3342,19.245,19.462,0.14236,0.12124,0.0,2.3779,241.79,97,0.42,1.0405,-0.031244,399.15,0.0029265,8.76944,-0.64056
2.3648,-15.18,1.5029,-32.383,1.5928,0.067714,0.0036112,0.084734,0.099197,0.15724,101.051,4.07,92.48,0.61,-72.58,0.0,-15.213,-12.381,-13.195,-10.238,2.1573,2.5519,0.27472,0.44587,0.0,2.9102,134.49,77,0.23,0.34905,-0.10957,33.538,0.04322,1.41002,-0.94998
